address_id,line,city,state,zip,is_cmra
ADDR-4471-200,4471 Peachtree Industrial Blvd Ste 200,Duluth,GA,30096,True
ADDR-4471-214,4471 Peachtree Industrial Blvd Ste 214,Duluth,GA,30096,True
ADDR-4471-231,4471 Peachtree Industrial Blvd Ste 231,Duluth,GA,30096,True
ADDR-4471-245,4471 Peachtree Industrial Blvd Ste 245,Duluth,GA,30096,True
ADDR-4471-260,4471 Peachtree Industrial Blvd Ste 260,Duluth,GA,30096,True
ADDR-C0000,1578 Main St,Marietta,GA,30060,False
ADDR-C0001,3248 Peachtree St,Augusta,GA,30901,False
ADDR-C0002,3334 Riverside Dr,Marietta,GA,30060,False
ADDR-C0003,9130 Baxter St,Athens,GA,30601,False
ADDR-C0004,7350 Whitlock Ave,Decatur,GA,30030,False
ADDR-C0005,3699 Whitlock Ave,Macon,GA,31201,False
ADDR-C0006,3132 Oak Ave,Macon,GA,31201,False
ADDR-C0007,5237 Elm St,Roswell,GA,30075,False
ADDR-C0008,427 Whitlock Ave,Decatur,GA,30030,False
ADDR-C0009,5526 Ponce De Leon Ave,Atlanta,GA,30309,False
ADDR-C0010,6793 Elm St,Columbus,GA,31901,False
ADDR-C0011,4353 Oak Ave,Roswell,GA,30075,False
ADDR-C0012,9135 Riverside Dr,Columbus,GA,31901,False
ADDR-C0013,8702 Clairmont Rd,Decatur,GA,30030,False
ADDR-C0014,1438 Elm St,Atlanta,GA,30309,False
ADDR-C0015,206 Ponce De Leon Ave,Duluth,GA,30096,False
ADDR-C0016,2159 Riverside Dr,Atlanta,GA,30309,False
ADDR-C0017,9572 Whitlock Ave,Marietta,GA,30060,False
ADDR-C0018,695 Oak Ave,Decatur,GA,30030,False
ADDR-C0019,2739 Sycamore Ln,Columbus,GA,31901,False
ADDR-C0020,4314 Peachtree St,Columbus,GA,31901,False
ADDR-C0021,4312 Whitlock Ave,Macon,GA,31201,False
ADDR-C0022,7475 Clairmont Rd,Athens,GA,30601,False
ADDR-C0023,5259 Ponce De Leon Ave,Atlanta,GA,30309,False
ADDR-C0024,1185 Highland Ave,Columbus,GA,31901,False
ADDR-C0025,9175 Sycamore Ln,Duluth,GA,30096,False
