individual_id,name,ssn4,dob,on_leie,leie_reason,leie_date
IND-C0000,Omar Thorpe,4609,1982-09-01,False,,
IND-C0001,Alan Nolan,8101,1995-05-04,False,,
IND-C0002,Maria Zane,4714,1972-06-15,False,,
IND-C0003,Della Ablett,6590,1980-09-22,False,,
IND-C0004,Lila Ward,7923,1955-06-12,False,,
IND-C0005,Cleo Reyes,0129,1975-05-07,False,,
IND-C0006,Nadia Calder,0279,1968-04-12,False,,
IND-C0007,Rosa Gale,2552,1991-04-28,False,,
IND-C0008,Maria Hune,4859,1958-07-21,False,,
IND-C0009,Paul Roth,6892,1964-09-30,False,,
IND-C0010,Paul Ordway,6682,1970-06-21,False,,
IND-C0011,Nadia Voss,7008,1973-02-27,False,,
IND-C0012,Ruth Pike,2796,1974-05-31,False,,
IND-C0013,Della Calder,6457,1963-10-11,False,,
IND-C0014,Rosa Pratt,8375,1989-11-11,False,,
IND-C0015,Hugo Udall,5543,1992-02-12,False,,
IND-C0016,Lila Ames,0541,1955-04-10,False,,
IND-C0017,Omar Marsh,7397,1970-08-26,False,,
IND-C0018,Neil Nolan,5023,1984-02-11,False,,
IND-C0019,Ivy Lund,9702,1994-05-27,False,,
IND-C0020,Gina Osei,3379,1977-07-21,False,,
IND-C0021,Dana Gale,3328,1969-03-02,False,,
IND-C0022,Della Cross,3855,1962-02-16,False,,
IND-C0023,Paul Marsh,7994,1963-07-25,False,,
IND-C0024,Tara Reyes,8036,1969-03-07,False,,
IND-C0025,Paul Boyd,1625,1965-12-20,False,,
IND-C0026,Priya Udall,4121,1975-02-16,False,,
IND-C0027,Tara Pike,3887,1991-03-24,False,,
IND-C0028,Wes Quill,2257,1981-11-05,False,,
IND-C0029,Beau Frost,8761,1955-10-25,False,,
IND-C0030,Sean Drake,8473,1976-12-18,False,,
IND-C0031,Beau Nolan,1763,1978-08-12,False,,
IND-C0032,Leon Pike,9881,1974-02-14,False,,
IND-C0033,Neil Ordway,7210,1992-11-26,False,,
IND-C0034,Vera York,6691,1957-08-10,False,,
IND-C0035,Omar Drake,1703,1981-12-11,False,,
IND-C0036,Faye Gale,8722,1963-04-19,False,,
IND-C0037,Paul Hune,4867,1986-09-04,False,,
IND-C0038,Omar Quill,9841,1990-07-29,False,,
IND-C0039,Dean Hart,6490,1958-04-12,False,,
IND-C0040,Cleo Roth,3517,1984-08-24,False,,
IND-C0041,Maria Dunmore,6505,1974-07-10,False,,
IND-C0042,Rosa Ward,9878,1977-03-26,False,,
IND-C0043,Neil Vance,2125,1974-10-06,False,,
IND-C0044,Paul Ames,5682,1966-12-01,False,,
IND-C0045,Beau Ames,6770,1966-09-01,False,,
IND-C0046,Ivy York,3376,1968-12-10,False,,
IND-C0047,Rosa Ames,9258,1991-10-02,False,,
IND-C0048,Maria Dunmore,8876,1988-07-28,False,,
